Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
SCH,Marché noir,spotify:track:3BDHFeYIrqGpL8HNkuI6zv,42,0.406,0.42,0.553,0.00197,0,0.541,-8.588,0,0.466,80.118,0.198
Damso,Coeur De Pirate,spotify:track:2q2tG7xR37PNyqrXqooemZ,42,0.0362,0.724,0.55,0,5,0.115,-8.615,0,0.263,82.893,0.631
Jul,Cœur blanc,spotify:track:5ETo6vf2TrhuTVhA99Z464,42,0.00973,0.882,0.716,0.000127,9,0.0772,-7.061,0,0.0748,135.999,0.519
Hatik,Angela,spotify:track:6ab3CQvDlAVttThZucwGQ1,42,0.702,0.65,0.469,0.249,2,0.106,-8.676,0,0.184,191.853,0.378
Ed Sheeran,Celestial,spotify:track:7xTDT7gyIrv0xWpwwXExxU,42,0.0529,0.574,0.852,0,2,0.161,-1.248,1,0.0397,123.038,0.501
Lujipeka,Poupée Russe,spotify:track:08Wp4lUKmtyAgX6w9KhTeM,42,0.256,0.834,0.606,0.000576,7,0.211,-6.946,0,0.0538,129.917,0.808
Central Cee,LET GO,spotify:track:3zkyus0njMCL6phZmNNEeN,42,0.859,0.735,0.449,0,2,0.213,-9.933,0,0.383,146.016,0.514
Niska,Mapess,spotify:track:7suo07vTc92Q9fnxD46PuL,42,0.0144,0.923,0.712,0.00137,9,0.16,-5.106,0,0.238,129.991,0.543
"ATB, Topic, A7S",Your Love (9PM),spotify:track:5YaskwnGDZFDRipaqzbwQx,42,0.194,0.669,0.784,6.28e-06,7,0.115,-5.603,1,0.112,125.993,0.517
SZA,Kill Bill,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,42,0.0521,0.644,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,0.418
Wejdene,Je t’aime de ouf,spotify:track:76X9R88fhwR1lTXfqdqRKZ,42,0.896,0.623,0.346,0,2,0.116,-9.881,0,0.0682,84.621,0.185
Lucenzo,Baila Pa Mi,spotify:track:2GS9AEoOjgbztBfIbCJ2mr,42,0.499,0.853,0.619,0.0124,5,0.102,-5.842,1,0.154,94.988,0.755
ROSALÍA,LLYLM,spotify:track:2SiAcexM2p1yX6joESbehd,42,0.129,0.555,0.634,2.32e-06,6,0.188,-5.522,0,0.273,170.228,0.555
"Grand Corps Malade, Camille Lellouche",Mais je t'aime,spotify:track:2twcZTB1udOEzDCPpTiOju,42,0.796,0.476,0.412,9.04e-06,9,0.112,-10.529,0,0.131,179.783,0.209
"Tayc, Tiakola",P A S C O M M E Ç A,spotify:track:3dgrm8jRmsBvYWez7kojD2,42,0.226,0.765,0.691,4.19e-05,1,0.0951,-7.016,1,0.0692,102.025,0.711
Louane,Aimer à mort,spotify:track:2HENwndPLHINxHhQPMh8BE,42,0.403,0.551,0.494,0,2,0.0914,-6.721,0,0.0284,148.61,0.333
Jul,La faille,spotify:track:6AZZfRVQ0fZBVZt6V60DBT,42,0.227,0.941,0.775,0,5,0.0964,-5.151,0,0.167,130.028,0.619
"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",spotify:track:7hxHWCCAIIxFLCzvDgnQHX,42,0.25,0.8,0.658,0,1,0.111,-6.142,0,0.079,140.042,0.462
Masked Wolf,Astronaut In The Ocean,spotify:track:0BGwAKW4u8kWOhWFflZxfl,42,0.175,0.778,0.695,0,4,0.15,-6.865,0,0.0913,149.996,0.472
"DJ Snake, Selena Gomez",Selfish Love (with Selena Gomez),spotify:track:3XoflnowYPFRPOh3uFvHcm,42,0.0206,0.723,0.646,0.352,5,0.0994,-7.973,0,0.102,110.971,0.443
Coldplay,Viva La Vida,spotify:track:1mea3bSkSGXuIRvnydlB5b,42,0.0954,0.486,0.617,3.23e-06,5,0.109,-7.115,0,0.0287,138.015,0.417
"SAINt JHN, Imanbek",Roses - Imanbek Remix,spotify:track:0zLCBJZSiELJf02ucPP9wb,42,0.0143,0.769,0.719,0.00777,8,0.359,-5.472,1,0.0474,121.955,0.863
"No Limit, Gazo, Damso",LA RUE,spotify:track:7EO5oDxrq2dvYDgBjFvFYY,42,0.348,0.713,0.59,1.99e-06,2,0.123,-8.651,0,0.196,138.065,0.578
Loreen,Tattoo,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,42,0.243,0.545,0.779,1.66e-06,3,0.123,-6.235,0,0.0751,150.002,0.303
"Beny Jr, Morad, K y B",Sigue,spotify:track:63ZedTAVRCICh2CNLWnsPZ,42,0.611,0.682,0.708,0.0328,6,0.0955,-5.597,0,0.165,122.053,0.594
Hatik,Ma p'tite étoile,spotify:track:4MQgqO4HollqhSs1Cu9xRR,42,0.548,0.686,0.556,1.36e-06,1,0.108,-8.902,0,0.188,105.995,0.287
Lizzo,About Damn Time,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,42,0.0974,0.836,0.743,0,10,0.335,-6.305,0,0.0653,108.965,0.723
Werenoi,All eyes on me,spotify:track:3oLn9QmwHO8Yu7NRCdAfIj,40,0.23,0.591,0.76,0,5,0.134,-5.19,0,0.0578,139.97,0.878
"Morad, Jul",Se Grita,spotify:track:55Q180Og5mkW2XeGPjB7yn,40,0.316,0.813,0.791,0.000165,11,0.124,-6.899,0,0.111,94.063,0.404
"AriBeatz, Ozuna, GIMS, Sfera Ebbasta","MIRAGE (feat. Ozuna, GIMS & Sfera Ebbasta)",spotify:track:4e1U6KRJGed8gh3uRbAv3P,40,0.0271,0.701,0.601,0,7,0.0682,-7.171,1,0.325,172.101,0.421
"Niska, Guy2Bezbar",De bon matin,spotify:track:063gM4qTXOyb17vQCt6YAg,40,0.196,0.776,0.785,0,0,0.304,-6.506,1,0.26,138.001,0.744
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,40,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,0.145
Camila Cabello,Don't Go Yet,spotify:track:1058fW9H3fZA6QjYCdOBad,40,0.0492,0.666,0.796,0,10,0.0442,-6.967,0,0.103,110.108,0.61
"Pascal Letoublon, Leony",Friendships (Lost My Love),spotify:track:0lQ2obtzmAsJu9xk3D6FqH,40,0.106,0.787,0.828,0.000605,11,0.105,-3.579,0,0.0297,119.953,0.544
Fresh,Drama queen,spotify:track:51W0UmiX3RjQmorQbjfLUr,40,0.115,0.808,0.506,0,11,0.124,-9.949,0,0.436,135.087,0.32
Laylow,IVERSON,spotify:track:5ZjEm81TYFPfE6Ddc0memq,40,0.532,0.565,0.699,0,10,0.504,-8.592,0,0.594,130.562,0.708
ISK,Le billet,spotify:track:2F2VCvAAiqbYMrryyrKEPv,40,0.0538,0.97,0.877,0,0,0.0909,-6.088,1,0.272,124.011,0.363
Ava Max,EveryTime I Cry,spotify:track:0mV43B6pJWRjcM5TmzNe6d,40,0.181,0.727,0.832,0,9,0.0615,-4.327,0,0.0366,127.035,0.213
Sound Of Legend,Maniac,spotify:track:2PG3D6a0BaldrZB9W0FPuv,40,0.0018,0.52,0.935,0.00047,2,0.302,-3.713,0,0.0482,144.994,0.0797
"Leto, Ninho",Vie de star (feat. Ninho),spotify:track:7toL2moA2sVueHJKDhVD0n,40,0.845,0.4,0.586,0,8,0.1,-7.569,0,0.074,170.544,0.282
"Dance Fruits Music, DMNDS, Fallen Roses, Lunis, Lujavo","Calabria (feat. Fallen Roses, Lujavo & Lunis)",spotify:track:2K7r0SujVkBGOj0JaOAZvg,40,0.0153,0.727,0.904,0.55,10,0.0963,-3.408,0,0.064,124.02,0.372
"Öwnboss, Sevek",Move Your Body,spotify:track:6GomT970rCOkKAyyrwJeZi,40,0.0169,0.848,0.821,0.000403,2,0.0962,-5.408,0,0.0527,125.051,0.249
"Landy, Niska",Millions d'euros,spotify:track:6pdgDTMMDY8HjfJ1n7T9z5,40,0.498,0.611,0.603,0,6,0.0657,-7.819,0,0.428,119.559,0.397
"REDVOLUTION, Ninho",Carolina,spotify:track:07r32jNfQPQ4gQJRc3K17q,40,0.384,0.791,0.904,0.00352,11,0.106,-2.83,0,0.0956,100.077,0.361
"Black Eyed Peas, Daddy Yankee",BAILAR CONTIGO,spotify:track:2EMkEil00JbwV78CoRgd3E,40,0.347,0.833,0.777,0.23,1,0.0898,-5.199,1,0.0592,124.992,0.53
"Boris Way, Shibui",Kings & Queens (feat. Shibui),spotify:track:5n4tX6qxC8giXU7IUmDSuI,40,0.0474,0.735,0.749,0,11,0.154,-5.372,0,0.103,123.118,0.434
"Landy, Gazo",Maybach,spotify:track:1roybe6TpPG0elVCDUhPdg,40,0.518,0.51,0.467,0,10,0.0719,-7.03,1,0.256,189.017,0.451
Hatik,Éternel,spotify:track:108TCF0NVAH4MDYwub3pph,40,0.705,0.752,0.227,0.000175,6,0.0958,-11.34,1,0.0578,116.957,0.091
Josman,J'aime Bien!,spotify:track:4eWcCSJEe0d1gCEdKqyiHS,40,0.704,0.88,0.572,0,6,0.0879,-7.5,0,0.0437,119.975,0.201
Tiësto,The Business,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,40,0.414,0.798,0.62,0.0192,8,0.112,-7.079,0,0.232,120.031,0.235
"Jul, Omah Lay",Namek,spotify:track:6jPAK56E7OVmVzZeriu94p,40,0.755,0.64,0.541,0.000445,7,0.0966,-7.731,0,0.162,88.127,0.765
"Lucenzo, Olupellar",Mambella,spotify:track:48xHszgl5GSK5nefCOiFov,38,0.429,0.783,0.72,3.11e-05,10,0.0632,-4.496,1,0.0533,104.958,0.925
"Becky G, Omega",Arranca (feat. Omega),spotify:track:6IdcyYfBz9LG3SWIKVyNgh,38,0.0378,0.931,0.793,4.63e-06,0,0.0748,-4.666,0,0.133,117.999,0.856
"Ed Sheeran, Lil Baby",2step (feat. Lil Baby),spotify:track:3Oj1LNWn6826ugw1fHzUYv,38,0.169,0.763,0.661,0,4,0.117,-5.592,0,0.056,95.002,0.632
Keen' V,Outété,spotify:track:6hVOBUdubnXycTHmwBjkUO,38,0.328,0.88,0.627,0,10,0.227,-7.341,1,0.0724,114.986,0.519
Jain,The Fool,spotify:track:4bArJbevzjgIfbPupg9GEl,38,0.418,0.632,0.405,1.15e-05,10,0.0941,-8.314,1,0.0294,115.007,0.377
Coi Leray,Players,spotify:track:6UN73IYd0hZxLi8wFPMQij,38,0.03,0.954,0.516,7.54e-06,6,0.0504,-5.817,1,0.16,105.001,0.624
Lost Frequencies,Rise,spotify:track:7HXBG0W8gFJwHUh5mVF9tf,38,0.228,0.689,0.612,7.77e-06,6,0.368,-6.014,1,0.0387,122.076,0.461
"Robin Schulz, Dennis Lloyd",Young Right Now,spotify:track:0JpEMzTHbt2zBIXrntrXzG,38,0.0129,0.539,0.708,0,5,0.14,-6.189,1,0.0976,123.039,0.381
Ziak,Même pas un grincement,spotify:track:2MQuAyJthNIHzSLNGR3WMm,38,0.239,0.696,0.584,0.000128,2,0.352,-8.194,1,0.337,140.96,0.708
"Kendji Girac, Vianney",Le feu,spotify:track:7tChNCtleS9bUPD4uDXvJf,38,0.261,0.667,0.746,0,1,0.0566,-4.175,1,0.0451,88.038,0.549
Sound Of Legend,I'm So Excited,spotify:track:5uiQynC3Gq7tR7U41BONTF,38,0.0484,0.704,0.969,1.2e-05,5,0.257,-2.482,0,0.0738,125.033,0.378
RIDSA,Nous Deux,spotify:track:6GwokJMonhQsnN653VhE1V,38,0.412,0.724,0.725,2.77e-06,1,0.0716,-5.642,1,0.0694,90.046,0.708
Vald,Anunnaki,spotify:track:6Emw7N6BUeyLQOB9E4GeMn,38,0.362,0.651,0.681,0,0,0.225,-5.866,0,0.0552,160.026,0.404
"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53",spotify:track:4nrPB8O7Y7wsOCJdgXkthe,38,0.274,0.778,0.632,0,2,0.0915,-5.6,0,0.0493,122.104,0.498
"DYSTINCT, MHD",Tek Tek (feat. MHD),spotify:track:0UawmEzDkE7zISZkhOB678,38,0.596,0.53,0.532,0,7,0.154,-8.952,0,0.0877,90.596,0.86
Dua Lipa,Dance The Night - From Barbie The Album,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,38,0.0207,0.671,0.845,0,11,0.329,-4.93,0,0.048,110.056,0.775
"Nahir, Vacra",Piranha (feat. Vacra),spotify:track:1NS6X0RWyNp0KzCCmCCwlu,38,0.643,0.756,0.5,1.34e-06,11,0.073,-7.387,0,0.0466,95.013,0.531
Jul,Ça tourne dans ma tête,spotify:track:0MG9FlA1CLNbHQSnQQaMF2,38,0.667,0.897,0.862,0.00231,3,0.12,-4.922,0,0.0387,131.968,0.871
Aya Nakamura,Bobo,spotify:track:6wL9pSXJ4roDSEoBpYyQy7,38,0.248,0.877,0.356,0.000274,9,0.2,-8.749,0,0.188,109.932,0.536
"Imanbek, Sean Paul, Sofía Reyes",Dancing On Dangerous (feat. Sofía Reyes),spotify:track:6OYZvwKN8GaauTrJS1TuuH,38,0.226,0.659,0.86,3.32e-06,1,0.0902,-2.927,0,0.0507,105.063,0.711
Dau,Finale - Nouvelle École,spotify:track:46NCn1HZ054Wy0o6H86teM,38,0.148,0.699,0.677,0,4,0.103,-6.582,1,0.356,144.161,0.425
PNL,A l'ammoniaque,spotify:track:1gVnckXtTdCoLwtiPPqlQS,38,0.4,0.592,0.371,0.000367,9,0.0953,-9.965,0,0.0437,127.966,0.197
"Marwa Loud, Moha K",Bimbo,spotify:track:3ieLcaMIyl1Avm7JtHSk0d,38,0.0939,0.976,0.578,0,2,0.119,-5.892,1,0.115,113.03,0.803
"Tiësto, Tate McRae",10:35,spotify:track:36gcliMRX1vCpgnrZE3dFZ,38,0.0683,0.696,0.793,3.78e-06,8,0.18,-5.733,1,0.097,120.003,0.698
"Kygo, Paul McCartney, Michael Jackson",Say Say Say (feat. Paul McCartney & Michael Jackson),spotify:track:16vUeW77F6Xiz1irHBvTAM,36,0.0538,0.729,0.708,0,6,0.102,-5.573,1,0.0616,117.911,0.425
"Heuss L'enfoiré, Gazo",Saiyan,spotify:track:2BvjmY4Mp5q1AHL0laetd6,36,0.353,0.775,0.808,4.17e-05,7,0.207,-4.568,0,0.0353,125.013,0.638
Trinidad Cardona,Dinero,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm,36,0.00772,0.708,0.782,0,2,0.107,-4.687,1,0.0674,119.997,0.484
Benson Boone,GHOST TOWN,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,36,0.389,0.391,0.335,0,0,0.102,-10.064,1,0.0763,174.185,0.116
"Sia, David Guetta",Floating Through Space,spotify:track:0XwSUpdrF7nR7hVxbDs7mb,36,0.00172,0.575,0.844,0,6,0.114,-4.89,0,0.072,104.914,0.277
Farruko,Nazareno,spotify:track:0RGpd5zCowfEItCUF7Itpr,36,0.0292,0.658,0.725,0.000107,7,0.163,-4.604,0,0.0321,128.117,0.368
"Youssoupha, Noémie",On se connaît,spotify:track:18m3o2kmvnYJn2cCOZ4LD9,36,0.185,0.839,0.805,0,9,0.0547,-6.128,0,0.111,96.021,0.699
Werenoi,Vulgaire,spotify:track:2n7919VBdSKS4KrPrliuTo,36,0.183,0.815,0.407,0,1,0.209,-17.405,1,0.176,127.96,0.25
Damso,Υ. 2 DIAMANTS,spotify:track:1swQocGVyXMAamWDjNzoLx,36,0.11,0.788,0.486,4.79e-06,8,0.105,-8.827,0,0.315,130.077,0.344
Harry Styles,Late Night Talking,spotify:track:1qEmFfgcLObUfQm0j1W2CK,36,0.298,0.714,0.728,0,10,0.106,-4.595,1,0.0468,114.996,0.901
"Vianney, Ed Sheeran",Call on me (feat. Ed Sheeran),spotify:track:2RO4aPByijQUqBZhYm1apz,36,0.116,0.618,0.66,0,6,0.0727,-3.202,1,0.0664,81.023,0.572
"DYSTINCT, Naza",Business (feat. Naza),spotify:track:2Qzt61URbXBb9N2MSVDoDv,36,0.368,0.542,0.375,0,10,0.103,-8.38,0,0.331,171.936,0.551
Rauw Alejandro,Todo De Ti,spotify:track:5RwV8BvLfX5injfqYodke9,36,0.302,0.78,0.719,0.000196,3,0.0931,-3.613,0,0.0506,127.962,0.336
"SDM, Tiakola",Redescends (feat Tiakola),spotify:track:0hveTnaqO8nXDMwwsJGJI3,36,0.0759,0.77,0.599,1.94e-05,10,0.125,-8.943,0,0.189,93.006,0.524
Tayc,Dis moi comment.,spotify:track:3gqmjtRLazCfg24PKlnCfU,36,0.0657,0.595,0.749,0,11,0.285,-5.399,1,0.329,96.992,0.457
Mentissa,Mamma Mia,spotify:track:3p26SlvvvwRo3WY9pUTlE0,36,0.492,0.844,0.56,0,6,0.0896,-4.047,0,0.0596,121.056,0.665
"Dave, Central Cee",Sprinter,spotify:track:2FDTHlrBguDzQkp7PVj16Q,36,0.186,0.916,0.583,0,1,0.0798,-8.067,1,0.241,141.095,0.661
"MHD, Tiakola",Pololo,spotify:track:2gmTz7pHMqAk6fpOc88qxA,36,0.316,0.773,0.776,7.15e-05,1,0.0571,-8.692,0,0.0622,106.022,0.895
Gambino,Alicante,spotify:track:1xV89fEoj4JNCrbMq5rA7G,36,0.312,0.854,0.905,0,3,0.0836,-5.478,0,0.223,134.99,0.865
Werenoi,Grisaille,spotify:track:7JBtwQ2CFFdr6sWMVcn483,36,0.452,0.767,0.701,1.36e-05,9,0.0707,-5.975,0,0.115,96.732,0.706
"R3HAB, INNA, Sash!",Rock My Body,spotify:track:4AWwa8me7EnMp6xCXnRTWo,36,0.203,0.654,0.82,0,2,0.522,-4.101,0,0.135,124.127,0.47
Imen Es,Essaie encore,spotify:track:7xFEyavPtivXc8yFqEZJpJ,34,0.196,0.712,0.727,0,11,0.127,-6.856,0,0.0765,144.051,0.477
Shakira,Don't Wait Up,spotify:track:45PF1Y3RcW5MK0jxWvhc4D,34,0.344,0.916,0.552,0.000722,3,0.0566,-5.051,0,0.0546,118.981,0.349
Billie Eilish,Happier Than Ever,spotify:track:4RVwu0g32PAqgUiJoXsdF8,34,0.767,0.332,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,0.297
"Zola, SCH",9 1 1 3,spotify:track:3WCMzZvH2zK476lasbLx0s,34,0.174,0.907,0.63,0.000293,6,0.376,-6.669,0,0.243,100.941,0.388
Tiakola,Pousse toi,spotify:track:48ghUr9q4ZCKTGEGzdZJlj,34,0.339,0.871,0.528,0,9,0.0792,-8.474,1,0.219,137.945,0.498
Vance Joy,Riptide,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,34,0.431,0.484,0.731,0,1,0.151,-6.694,1,0.0379,101.654,0.51
Sofiane,Attrape-moi si tu peux,spotify:track:6LuAtG9sa0aU8GTMd9CQnO,34,0.395,0.763,0.667,0,9,0.344,-6.822,0,0.359,109.176,0.331
Soprano,Dingue,spotify:track:2NXk38cqDXz1qY6E1ADlKA,34,0.00554,0.8,0.641,0,0,0.0662,-4.149,0,0.185,160.961,0.917
Lujipeka,Pas à ma place,spotify:track:1zNGngJpT00C7fMRTwcJhQ,34,0.312,0.689,0.641,0,8,0.0641,-7.133,0,0.103,149.072,0.509
Larry,Sirène,spotify:track:7b0dFF0NjFOSEJWyMKeuMZ,34,0.397,0.756,0.639,0,1,0.076,-7.722,1,0.0513,89.997,0.636
"NAZAKEBLACK, Naza, KeBlack","1,2,3 Soleil",spotify:track:5dSfZLxT4QUN4maDM5H2ZW,34,0.572,0.728,0.747,0.00178,7,0.196,-5.983,1,0.275,154.928,0.57
Amir,Ce soir,spotify:track:3wU34gBKjzcDMxpHlTmihG,32,0.0229,0.632,0.663,4.09e-06,11,0.105,-5.898,0,0.0389,163.887,0.475
Zola,ENVIE7VIE,spotify:track:4AcgnuS4DWpiACgY03Vu2R,32,0.115,0.835,0.684,0.000204,11,0.116,-5.678,0,0.141,95.02,0.633
Jul,JCVD,spotify:track:10iesoGb4mCYTcur1QfdO9,32,0.479,0.847,0.83,2.54e-06,7,0.068,-5.873,0,0.034,130.05,0.895
"DJ Snake, Ozuna, Megan Thee Stallion, LISA","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",spotify:track:6IPNp9PfaEqrzotY47TIWy,32,0.00406,0.8,0.837,0.00313,6,0.0904,-2.807,0,0.0491,100.015,0.702
La petite culotte,La goffa Lolita,spotify:track:11G8CE8y5M0t3n0r7FrppK,32,0.00506,0.624,0.944,0,9,0.313,-5.723,0,0.173,130.092,0.362
"Sadek, Ninho",TP,spotify:track:4aslqUfhnz7lYd8mEMIToq,32,0.128,0.771,0.707,0,10,0.111,-5.372,0,0.071,103.03,0.54
Lomepal,Mauvais ordre,spotify:track:0H5JKQ7qQ5MBeRSZSieZsM,32,0.767,0.764,0.43,0.0585,4,0.0843,-9.956,0,0.0594,143.992,0.426
Guy2Bezbar,Full black,spotify:track:7DPQMoNUREqcRjlnbFh2cN,32,0.207,0.747,0.837,0.00409,6,0.082,-6.708,1,0.0623,89.994,0.561
"Ofenbach, SVEA",Body Talk,spotify:track:7jLoUQCN6HeC4MNQxr0wcD,32,0.0169,0.708,0.662,2.47e-05,6,0.122,-4.34,0,0.065,121.975,0.625
SCH,LIF,spotify:track:1bQzTUxeGELwCbWIan83V3,32,0.0748,0.847,0.626,0,1,0.076,-6.224,1,0.368,103.032,0.594
"Werenoi, Tiakola",Tout seul,spotify:track:1EN9pjOtIMBpJzpYKZFmAV,32,0.304,0.711,0.607,9.15e-06,7,0.0929,-7.427,0,0.221,132.995,0.453
"Alok, Sigala, Ellie Goulding",All By Myself,spotify:track:5Hp4xFihdOE2dmDzxWcBFb,32,0.0932,0.662,0.848,7.62e-06,0,0.241,-4.338,0,0.0346,123.041,0.773
"Gianni, Ninho, Dadju",Acolyte (feat. Dadju & Ninho),spotify:track:3dAmEncotdt2zdvAJBSbCy,32,0.203,0.775,0.792,0,8,0.128,-4.686,0,0.102,88.006,0.71
"Gradur, Heuss L'enfoiré",Ne reviens pas,spotify:track:4TnFANpjVwVKWzkxNzIyFH,32,0.212,0.932,0.778,0,10,0.168,-3.384,0,0.0638,124.996,0.933
"Fresh, Niska",Allez dehors,spotify:track:1TJNaHxRxYT9nBoNyt223S,32,0.407,0.699,0.848,2.49e-05,7,0.114,-5.331,1,0.431,139.825,0.754
PNL,Uranus,spotify:track:7lpfmAMzW3MlWSnXrwAGky,32,0.577,0.625,0.575,0.106,0,0.0994,-10.557,0,0.074,92.028,0.396
"J Balvin, Skrillex",In Da Getto,spotify:track:1q0PYXTbDsirp2l74ng6pn,32,0.0177,0.924,0.723,2.61e-05,8,0.113,-3.142,1,0.0466,126.998,0.643
P!nk,TRUSTFALL,spotify:track:1gUwi1o1S9W9P0FQgJdY8s,32,0.00162,0.636,0.888,0.000216,8,0.147,-3.889,1,0.0945,122.032,0.25
"Maes, Booba",Blanche,spotify:track:5GyyPRvEwdI4wJSUbzxHQv,32,0.525,0.776,0.713,0,4,0.306,-6.121,0,0.143,127.987,0.551
Ronisia,Mélodie (Tatami),spotify:track:78cYGQUXUNS5LZuNRzeqk7,32,0.309,0.803,0.634,5.96e-06,1,0.0917,-5.746,1,0.0667,90.023,0.579
Benab,Mon poto,spotify:track:2Mhn2jv81zNuuRvdlYOYlM,32,0.239,0.84,0.662,0.000493,10,0.0891,-5.539,0,0.0576,125.995,0.293
OBOY,Cruel,spotify:track:1q3UKwsvTPfF44xQJYC0sg,32,0.312,0.729,0.491,0,6,0.101,-8.871,0,0.168,141.886,0.594
"DA Uzi, Ninho, SCH, Hornet La Frappe, Leto, Sadek, Soprano","La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)",spotify:track:4tJYqq9gYr0RATc1BpDkpy,32,0.227,0.794,0.845,0,9,0.843,-4.646,1,0.265,138.325,0.627
"Blasterjaxx, Prezioso, LIZOT, Shibui",Hurricane (feat. SHIBUI),spotify:track:1SlLP2AI4L2oh3VRJfHBpf,30,0.064,0.372,0.915,0.00011,11,0.126,-4.577,1,0.085,91.124,0.466
Ninho,La maison que je voulais,spotify:track:6xVRI3rGcsgi8ZCfdf90Oe,30,0.302,0.739,0.59,0,10,0.141,-7.528,0,0.413,124.098,0.393
Franglish,Bolingo,spotify:track:0P6QbrmnUbxbriPFNcBzWe,30,0.541,0.503,0.593,0,11,0.124,-6.752,0,0.386,132.105,0.444
Peggy Gou,(It Goes Like) Nanana - Edit,spotify:track:23RoR84KodL5HWvUTneQ1w,30,0.12,0.671,0.876,0.188,7,0.0823,-5.681,0,0.0352,129.998,0.964
"Coolio, L.V.",Gangsta's Paradise,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,30,0.0655,0.647,0.514,0,8,0.398,-10.05,1,0.0593,79.975,0.386
Ava Max,Million Dollar Baby,spotify:track:3pPN20syOYvbUuEiBpbenI,30,0.0367,0.667,0.858,1.47e-05,2,0.325,-2.268,0,0.0926,133.039,0.641
"Ofenbach, FAST BOY",Love Me Now (feat. FAST BOY),spotify:track:2roaRzXYbXDakP5sadaPBh,30,0.081,0.651,0.832,0,9,0.312,-4.29,1,0.0388,122.016,0.426
Central Cee,Obsessed With You,spotify:track:4oxGI8yyghLuMV7ybRG3kg,30,0.192,0.746,0.825,0,3,0.365,-4.457,1,0.0435,143.062,0.904
Jok'air,Elles ont trop joué avec mon coeur,spotify:track:5SqR7dxbJiTSadTaVEhZ04,30,0.155,0.69,0.567,0.0397,6,0.127,-7.979,1,0.0471,152.056,0.426
"Vald, Orelsan",Peon (feat. Orelsan),spotify:track:6GCre1ICOJlP3AQNuOS3oe,30,0.141,0.822,0.695,0,6,0.0876,-5.231,0,0.192,142.0,0.56
"Calvin Harris, Tom Grennan",By Your Side (feat. Tom Grennan),spotify:track:0vR2rIVORmgeKiGIgNT0fV,30,0.0514,0.733,0.96,0.00199,7,0.287,-3.597,1,0.0295,124.01,0.811
"GIMS, Dhurata Dora",ONLY YOU (feat. Dhurata Dora),spotify:track:3QNjxtei6jekNeNJzRbwI6,30,0.184,0.683,0.683,0.000512,1,0.13,-5.589,1,0.0991,94.923,0.405
Doja Cat,Need to Know,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,30,0.304,0.664,0.609,0,1,0.0926,-6.509,1,0.0707,130.041,0.194
Hamza,Codéine 19,spotify:track:3Q8qW4OUBQWLZaNLR9TxFr,30,0.162,0.812,0.525,0,5,0.132,-6.906,0,0.0942,76.977,0.698
"Vegedream, Ninho",Elle est bonne sa mère,spotify:track:7j56bK7gq6iV7zsD6lbP4J,30,0.329,0.787,0.741,1.88e-05,4,0.341,-5.484,0,0.0592,105.0,0.466
Luidji,Reste en Vie,spotify:track:1qkwBaQUYh3HeUlUlGu8YM,30,0.869,0.754,0.302,0.000152,1,0.807,-8.647,0,0.284,118.843,0.466
"Rim'K, Morad",Papel - feat. Morad,spotify:track:4QbbObH9rQh3KspHkbGsT8,30,0.473,0.798,0.768,0.000597,2,0.065,-7.631,0,0.0994,129.932,0.697
"Tungevaag, Kid Ink",Ride With Me (feat. Kid Ink),spotify:track:03SEp9sXkAOAgxJtSLuVEi,30,0.0939,0.623,0.889,0,7,0.358,-2.169,1,0.0367,149.931,0.466
"Russ Millions, YV, SwitchOTR, Buni, CH (GMD), Gazo, RoseReal",Reggae & Calypso (Russ Millions x Buni x YV x CH (GMD) x SwitchOTR x Gazo x RoseReal) - Remix,spotify:track:2cQyipGn0DEXYLgoeIwRFe,30,0.384,0.763,0.793,0,1,0.319,-5.363,1,0.284,141.146,0.906
Dadju,Reine,spotify:track:1bxP4M9ICllcg7mel8kH89,30,0.76,0.399,0.395,0,2,0.0815,-10.782,1,0.0593,98.174,0.704
"JEY BROWNIE, FLEM KGB",GTB,spotify:track:2t0sbwkCuLSS8LKFanHEZu,30,0.233,0.829,0.618,6.57e-06,6,0.091,-5.073,0,0.0492,109.998,0.414
