Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Ninho,Putana,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,150,0.313,0.717,0.774,0,2,0.129,-6.927,0,0.0515,103.849,0.511
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),spotify:track:567e29TDzLwZwfDuEpGTwo,148,0.0383,0.591,0.764,0,1,0.103,-5.484,1,0.0483,169.928,0.478
"Koba LaD, Gazo",Daddy chocolat,spotify:track:4IbDTrLxImTJfZePAX2nKB,148,0.0693,0.721,0.523,0,7,0.281,-8.399,1,0.147,141.034,0.757
Nekfeu,On verra,spotify:track:57I5KhEpQFC9XBgKt6nklL,144,0.166,0.575,0.58,0,0,0.0781,-6.801,1,0.067,75.2,0.324
"Alonzo, Ninho, Naps",TOUT VA BIEN (feat. Ninho & Naps),spotify:track:6OZwia8loN0aPS0vTvsBjR,144,0.301,0.66,0.72,0,3,0.226,-5.874,0,0.0753,99.937,0.628
"Alonzo, Jul, Naps",La Seleçao,spotify:track:2vd2HEhrkafOi2uveHjzzh,144,0.128,0.825,0.878,8.94e-05,9,0.0963,-5.485,0,0.186,126.994,0.847
Tiakola,Meuda,spotify:track:4wNyrbY6B2Okii8VeKo2B2,142,0.508,0.724,0.593,0,9,0.196,-6.498,1,0.0766,141.901,0.624
"Soolking, Niska",Balader,spotify:track:6PrB4KpvuoYWtwjPC5a44S,142,0.306,0.603,0.802,5.06e-05,4,0.124,-5.089,0,0.111,130.121,0.787
"Tiakola, Rsko",Gasolina (feat. Rsko),spotify:track:6kwmp0U8M1tPvgPHqvbwsr,142,0.517,0.684,0.493,0,6,0.0672,-7.946,0,0.124,119.087,0.501
"Nekfeu, Nemir",Elle pleut,spotify:track:4kqsT3yDyJr1KZ2AkM9qfD,140,0.724,0.62,0.375,2.86e-06,8,0.125,-11.064,1,0.455,92.641,0.226
Ziak,Fixette - Bonus,spotify:track:0Kvkx0NcqsdYOhQzYfDuDZ,140,0.168,0.866,0.694,0,1,0.0585,-5.222,0,0.363,145.041,0.649
PNL,Au DD,spotify:track:5lCxlSBFyP5g4EhVypAoOu,138,0.293,0.777,0.698,2.32e-05,6,0.0908,-7.706,0,0.0704,119.963,0.119
OneRepublic,I Ain't Worried,spotify:track:4fYte8ZvTK14NEhAOZocBi,138,0.0988,0.697,0.802,3.55e-05,0,0.0614,-6.412,1,0.0456,139.951,0.822
Orelsan,Jour meilleur,spotify:track:6VOUfCrjmxH62oijWgbC6O,138,0.38,0.656,0.463,0,2,0.446,-10.93,1,0.0598,81.499,0.407
Orelsan,La Quête,spotify:track:0w6lsLBvhtGcqMYA7MB7r6,136,0.36,0.832,0.54,0,6,0.101,-8.667,1,0.397,120.105,0.84
"ZEG P, Hamza, SCH",FADE UP,spotify:track:4ZpIuzx91EAPK3VimONbfB,134,0.57,0.758,0.599,1.13e-06,4,0.129,-5.99,0,0.0877,129.96,0.557
Gazo,RAPPEL,spotify:track:48BdA5qBxXVoe59xvu0bwc,134,0.441,0.486,0.786,4.46e-06,4,0.077,-6.468,0,0.209,94.644,0.534
Jul,J'ai tout su,spotify:track:3fgEIHsl6ecyAK1rpAxBIY,134,0.0978,0.786,0.757,0.00106,9,0.131,-4.889,0,0.106,175.903,0.898
Damso,Δ. Dieu ne ment jamais,spotify:track:6YWjskKykdPsBuiTBOg1VK,134,0.0597,0.756,0.736,4.98e-06,11,0.0373,-7.719,1,0.0443,115.985,0.612
Imagine Dragons,Bones,spotify:track:54ipXppHLA8U4yqpOFTUhr,134,0.0201,0.772,0.75,0,5,0.074,-3.67,0,0.0455,114.061,0.587
"Soso Maness, PLK",Petrouchka (feat. PLK),spotify:track:03y045SZqaC94yfXl1cU4E,134,0.0597,0.624,0.802,0,6,0.252,-4.818,1,0.311,133.888,0.818
Gazo,DIE,spotify:track:3D29kjUyWxsT3jUUTtARVQ,132,0.229,0.695,0.63,0,8,0.118,-7.16,0,0.035,130.968,0.55
Werenoi,Solitaire,spotify:track:3kzXT2poHInDISrXOgT1PR,132,0.151,0.753,0.717,0.00258,1,0.0988,-8.438,0,0.0384,117.952,0.601
"Gazo, Tiakola",FLEURS (feat. Tiakola),spotify:track:0i9RysNKssk6syOrKDX3U2,132,0.268,0.673,0.636,0,10,0.108,-7.431,1,0.0771,127.021,0.438
Jul,La bandite,spotify:track:0goer5e8B6SJaTV2B51k6f,132,0.666,0.845,0.717,0,5,0.11,-6.771,0,0.211,122.491,0.686
"Disiz, Damso",RENCONTRE,spotify:track:2toEys3zZ8rRB242Na7FZh,130,0.521,0.62,0.458,0,2,0.11,-10.557,1,0.269,125.132,0.518
Yanns,Clic clic pan pan,spotify:track:6aZPMuJetqwKQCPClCNgd3,128,0.204,0.798,0.763,0,10,0.213,-6.134,0,0.0654,132.016,0.698
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,spotify:track:3CIyK1V4JEJkg02E4EJnDl,126,0.237,0.728,0.783,0,11,0.434,-4.424,0,0.266,77.011,0.555
Pierre de Maere,Un jour je marierai un ange,spotify:track:5klPZRehMLpiKUchPAzKyR,126,0.276,0.621,0.538,0,7,0.112,-10.531,0,0.114,85.054,0.184
Kungs,Never Going Home,spotify:track:2fuWIFyY452wmNOoT32EB8,124,0.0868,0.839,0.842,0.0981,0,0.0548,-4.703,1,0.0392,122.028,0.96
Ninho,Vérité,spotify:track:1O1EqgvgRyj1ejZPUxI0UX,124,0.423,0.721,0.509,7.74e-05,6,0.116,-9.356,0,0.153,157.022,0.317
"No Limit, Orelsan, Ninho",Millions,spotify:track:70jyIxNr3R5k3bofVYX9GS,124,0.482,0.755,0.497,0,9,0.0796,-8.838,0,0.359,141.126,0.481
