Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Los Auténticos Decadentes, Mon Laferte",Amor (Ft. Mon Laferte) - MTV Unplugged,spotify:track:1QjfU3jkGInap7Vm9lVJIQ,116.0,0.0274,0.62,0.717,0.0,9.0,0.708,-7.165,0.0,0.0361,92.881,0.601,2018-10-05
"Damas Gratis, Viru Kumbieron",Me Vas a Extrañar - En Vivo,spotify:track:3CACzG9I3AoKUKA3ODE5zW,116.0,0.323,0.419,0.809,0.0,11.0,0.699,-4.596,1.0,0.0357,88.418,0.635,2018-09-07
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,spotify:track:56f5qnyAlZdlz8wrUDA50h,111.0,0.118,0.719,0.753,4.21e-06,7.0,0.212,-4.891,1.0,0.179,174.107,0.675,2019-05-03
"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,111.0,0.269,0.845,0.677,0.000917,11.0,0.108,-4.798,0.0,0.136,90.013,0.68,2020-06-12
"Emilia, Duki",como si no importara,spotify:track:7M0mBls29IohQIPGqegcyE,110.0,0.467,0.843,0.534,0.0,1.0,0.0984,-6.658,0.0,0.142,94.984,0.528,2022-05-31
Soda Stereo,De Música Ligera - Remasterizado 2007,spotify:track:2WD9ggmpZE7Wodh3qVVCgg,110.0,0.00487,0.542,0.714,0.298,2.0,0.334,-8.045,1.0,0.028,124.26,0.76,1983
Las Pelotas,Personalmente,spotify:track:7q7XFO9av9VpNJSXKJwJxD,109.0,0.333,0.559,0.711,0.00219,11.0,0.394,-7.186,1.0,0.0269,155.934,0.769,2010-11-09
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,109.0,0.401,0.731,0.573,5.22e-05,4.0,0.113,-10.059,0.0,0.0544,109.928,0.145,2020-11-27
Abel Pintos,Oncemil,spotify:track:3y5ahYM9zwyOCt3mieZ0PZ,108.0,0.161,0.633,0.698,0.0,0.0,0.146,-3.313,1.0,0.0301,144.172,0.369,2016-10-07
Paulo Londra,Adan y Eva,spotify:track:132ALUzVLmqYB4UsBj5qD6,108.0,0.323,0.767,0.709,0.0,1.0,0.0745,-4.47,1.0,0.336,171.993,0.72,2019-05-23
Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,spotify:track:1fKFxmSByZfjwVSbq0PHye,108.0,0.0513,0.419,0.711,0.0,11.0,0.243,-4.083,0.0,0.0488,82.18,0.529,2021-08-17
"Los Palmeras, Onda Sabanera",Olvídala,spotify:track:19oggfRyJpBt68pSKbFofW,102.0,0.307,0.77,0.683,0.0,2.0,0.237,-5.184,1.0,0.0428,132.014,0.546,1999-03-15
"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",Mamichula - con Nicki Nicole,spotify:track:0TUW9faHNaBmi89wsYGp9y,101.0,0.582,0.696,0.678,2.22e-06,4.0,0.134,-5.893,0.0,0.0735,91.985,0.346,2020-07-23
