Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Ed Sheeran,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,157.0,0.581,0.825,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,0.931,2017-03-03
Queen,Bohemian Rhapsody - Remastered 2011,spotify:track:4u7EnebtmKWzUH433cf5Qv,156.0,0.271,0.414,0.404,0.0,0.0,0.3,-9.928,0.0,0.0499,71.105,0.224,1975-11-21
"J Balvin, Bad Bunny",QUE PRETENDES,spotify:track:25ZAibhr3bdlMCLmubZDVt,155.0,0.0275,0.639,0.791,0.0,10.0,0.362,-4.443,0.0,0.253,92.603,0.939,2019-06-28
Queen,Another One Bites The Dust - Remastered 2011,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,155.0,0.112,0.933,0.528,0.312,5.0,0.163,-6.472,0.0,0.161,109.967,0.754,1980-06-27
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,152.0,0.401,0.731,0.573,5.22e-05,4.0,0.113,-10.059,0.0,0.0544,109.928,0.145,2020-11-27
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,151.0,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,150.0,0.0103,0.607,0.829,0.0,2.0,0.107,-4.074,1.0,0.379,96.172,0.685,2020-02-29
Guns N' Roses,Sweet Child O' Mine,spotify:track:7o2CTH4ctstm8TNelqjb51,149.0,0.0866,0.454,0.91,0.0996,6.0,0.116,-7.766,1.0,0.0448,125.116,0.629,1987-07-21
Manuel Turizo,Quiéreme Mientras Se Pueda,spotify:track:1WH3iquIQXnSPwUzlROT8R,149.0,0.447,0.793,0.782,0.0,4.0,0.124,-3.945,1.0,0.0582,143.86,0.81,2021-04-09
Maluma,Hawái,spotify:track:1yoMvmasuxZfqHEipJhRbp,148.0,0.185,0.783,0.727,2.46e-05,6.0,0.0626,-3.454,0.0,0.389,180.067,0.558,2020-08-21
"Bad Bunny, Mora",Una Vez,spotify:track:5J7teKIJGtqVypgYI6sqXj,147.0,0.132,0.55,0.598,2.58e-06,11.0,0.0955,-5.402,0.0,0.0831,83.836,0.543,2020-02-29
"KAROL G, Nicki Minaj",Tusa,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,147.0,0.309,0.799,0.701,7.36e-05,2.0,0.0514,-3.272,1.0,0.282,100.946,0.607,2021-03-26
Morat,Cuando Nadie Ve,spotify:track:71iAechwVKGu26pahzFL0k,146.0,0.133,0.806,0.778,0.0,1.0,0.218,-4.577,0.0,0.0616,95.993,0.84,2018-10-25
"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,145.0,0.0946,0.807,0.606,0.0,3.0,0.119,-8.871,0.0,0.088,92.988,0.304,2020-05-09
"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,spotify:track:6K5BsR04ijf3FHNzjbaagD,145.0,0.441,0.817,0.672,0.0,11.0,0.13,-5.612,0.0,0.299,93.999,0.774,2019-08-02
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,spotify:track:56f5qnyAlZdlz8wrUDA50h,136.0,0.118,0.719,0.753,4.21e-06,7.0,0.212,-4.891,1.0,0.179,174.107,0.675,2019-05-03
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,135.0,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
Bad Bunny,TE MUDASTE,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,134.0,0.234,0.811,0.637,0.000572,10.0,0.118,-4.835,0.0,0.0591,92.025,0.471,2020-11-27
Christian Nodal,Se Me Olvidó,spotify:track:7paFC3FEu1WtPVP4Do6VZN,134.0,0.368,0.65,0.558,0.0,0.0,0.303,-3.082,1.0,0.0309,141.82,0.725,2020-05-29
"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,spotify:track:57Ba26w9eoXx8BBUNgRNLV,132.0,0.149,0.656,0.665,8.33e-06,1.0,0.16,-1.387,1.0,0.189,189.984,0.569,2020-04-20
"Morat, Juanes",Besos En Guerra,spotify:track:1mlGScrDQqHqmhdIqE8MmA,131.0,0.126,0.69,0.973,0.0,2.0,0.101,-3.588,1.0,0.0492,143.957,0.772,2018-10-25
"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,131.0,0.0846,0.786,0.808,0.000289,7.0,0.0822,-3.702,1.0,0.0881,105.029,0.608,2020-05-29
"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,spotify:track:6C1RD7YQVvt3YQj0CmuTeu,128.0,0.108,0.813,0.56,0.0,2.0,0.268,-5.904,0.0,0.0618,118.033,0.287,2016-08-26
"Gera MX, Christian Nodal",Botella Tras Botella,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,128.0,0.656,0.727,0.546,0.0,0.0,0.122,-4.572,1.0,0.0437,106.891,0.69,2021-04-23
"Rauw Alejandro, Farruko",Fantasias,spotify:track:6mAN61JH0dzyZpWslS11jy,127.0,0.143,0.879,0.703,0.0,1.0,0.0569,-4.219,1.0,0.0701,94.004,0.788,2019-08-29
"Pedro Capó, Farruko",Calma - Remix,spotify:track:4U0JLGFHJpEnDS5w8F7ngE,125.0,0.337,0.826,0.764,0.0,11.0,0.161,-4.341,0.0,0.0522,126.9,0.761,2020-09-18
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,spotify:track:17I27VXKtqXJHL6ReaG0eS,125.0,0.473,0.655,0.673,0.0,0.0,0.0753,-5.98,0.0,0.308,181.891,0.342,2022-02-09
