Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Alfa, Yanomi",Cin Cin,spotify:track:5IWgFYcdZ7BqRYKW6lzsAg,100,0.261,0.701,0.634,0.0,1.0,0.131,-4.16,1.0,0.0344,121.048,0.371,2019-12-13
"Massimo Pericolo, Crookers",STUPIDO,spotify:track:6HVRRlc2sBlkcKEkhlsp86,100,0.708,0.404,0.529,2.19e-05,11.0,0.219,-8.885,0.0,0.364,86.711,0.36,2021-03-26
Capo Plaza,Uno squillo,spotify:track:7zivIUyCw9MmYftdcayXnN,100,0.0586,0.801,0.724,0.0,1.0,0.0736,-5.038,0.0,0.397,98.97,0.679,2018-04-20
Coez,È sempre bello,spotify:track:6IdiuMw1FSAvU3e6bgWQVX,99,0.0732,0.692,0.63,0.0,8.0,0.0865,-6.792,1.0,0.164,110.919,0.499,2019-03-29
"Rkomi, Elodie",LA CODA DEL DIAVOLO (con ELODIE),spotify:track:6oYcyS6salzWI1ysjEScFh,96,0.132,0.481,0.748,7.77e-06,6.0,0.126,-6.007,0.0,0.356,128.777,0.549,2021-11-30
"Rkomi, Irama, Shablo",LUNA PIENA (con IRAMA),spotify:track:6z7tGTD6yvyloEm6K2H8EX,96,0.405,0.722,0.841,0.0,1.0,0.0876,-3.561,1.0,0.0545,99.963,0.467,2021-11-30
"MACE, BLANCO, Salmo",LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),spotify:track:1uXJYnCsXy2v50y0fDEEiV,96,0.114,0.658,0.674,1.84e-05,5.0,0.147,-6.848,0.0,0.0484,129.914,0.164,2021-02-04
Benji & Fede,Dove e quando,spotify:track:5XM7tx8ovQ9UrYqUowW1AK,96,0.0931,0.763,0.692,0.0,1.0,0.0644,-6.158,1.0,0.0381,124.998,0.691,2019-10-18
Pinguini Tattici Nucleari,Scooby Doo,spotify:track:1P6TlFb8EVH2nCX3luVpZW,95,0.0477,0.74,0.743,0.0,6.0,0.0925,-4.166,1.0,0.137,135.071,0.773,2020-12-04
Ultimo,Ti dedico il silenzio,spotify:track:6GLmGfALwjzCaOiHwgfU7g,92,0.175,0.661,0.443,0.0,8.0,0.177,-9.303,1.0,0.0688,80.0,0.147,2018-02-09
Random,Chiasso,spotify:track:76B3Xb8EqIY4NJF5xoNrCH,91,0.246,0.72,0.45,0.0,6.0,0.101,-13.285,0.0,0.196,91.984,0.454,2020-06-05
BLANCO,Finché Non Mi Seppelliscono,spotify:track:16EJNayKtC09M0Fi7Py47s,91,0.349,0.727,0.833,0.0,4.0,0.232,-2.594,1.0,0.0316,130.024,0.86,2021-09-09
