Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
TOQUEL,777,spotify:track:76Ed6NIq5ZxpUKtPsg4DBe,101,0.444,0.758,0.602,0.0,6.0,0.0951,-10.318,0.0,0.158,100.027,0.326,2019-05-27
"TOQUEL, Hawk",Netflix,spotify:track:2JwQnJFhBVjX6XR9d0bq7S,101,0.282,0.803,0.556,0.0,4.0,0.106,-7.866,0.0,0.0636,100.046,0.353,2019-05-27
Light,Primo,spotify:track:2sn75JSuPH3cX9jmZ9Fecu,101,0.256,0.768,0.665,0.0,11.0,0.0719,-9.735,0.0,0.28,96.042,0.155,2017-10-27
"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,100,0.0027,0.553,0.659,0.0,8.0,0.105,-7.295,1.0,0.0391,120.146,0.105,2022-04-15
Konstantinos Argiros,Elpida,spotify:track:6y9u6j2wCh0Iq5Y128F6Oj,100,0.62,0.588,0.714,1.3e-06,5.0,0.109,-6.562,0.0,0.0353,119.693,0.412,2023-03-17
SNIK,Millionaire,spotify:track:01Y0KGT7VzixtLyOj44x56,99,0.382,0.881,0.783,0.000102,8.0,0.101,-3.07,0.0,0.163,102.04,0.545,2020-05-22
"Strat, Mad Clip",Filakes,spotify:track:0omM3mkVfjt8MhDKinkhcn,99,0.149,0.64,0.639,0.0,9.0,0.271,-6.397,1.0,0.0669,167.864,0.298,2020-07-17
Travis Scott,HIGHEST IN THE ROOM,spotify:track:3eekarcy7kvN4yt5ZFzltW,98,0.0546,0.598,0.427,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,0.0605,2019-10-04
"RACK, Oge",Kathikon,spotify:track:5tQrjxSC13DsAxFQ6aMUhV,97,0.198,0.72,0.681,0.0128,10.0,0.221,-8.962,0.0,0.223,94.04,0.529,2021-05-20
Fy,De Me Theloun,spotify:track:5z8K92vYj0FH6C05HAT2Ve,95,0.0138,0.903,0.527,5.6e-06,8.0,0.0736,-9.019,1.0,0.0664,144.98,0.941,2018-12-01
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,95,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
XXXTENTACION,Moonlight,spotify:track:0JP9xo3adEtGSdUEISiszL,94,0.556,0.921,0.537,0.00404,9.0,0.102,-5.723,0.0,0.0804,128.009,0.711,2018-03-16
"Trannos, Stanley",COCO,spotify:track:6yOg1Tt1ELOWseyPg2vEos,92,0.0558,0.931,0.638,0.0,7.0,0.106,-7.291,1.0,0.221,120.054,0.797,2021-05-21
"Aspa, Mad Clip",Oh No,spotify:track:259d0kioJeWhOXnNBMyV0B,91,0.0545,0.798,0.801,0.0,7.0,0.289,-4.827,0.0,0.188,104.97,0.506,2022-06-28
LEX,Tipota Ston Kosmo,spotify:track:6WCkbrjSG16OJTlMayNmqU,91,0.169,0.748,0.56,3.69e-05,9.0,0.0665,-10.624,1.0,0.0754,99.03,0.215,2019-04-06
"Josephine, Mad Clip",Fimi,spotify:track:5jHQstavpsizRpj6trOfDx,91,0.0519,0.829,0.788,0.0,1.0,0.0772,-5.398,1.0,0.0803,101.955,0.401,2022-02-21
"RACK, DJ.Silence",Barcode,spotify:track:42mmyfhNOjoLBdAYirszzB,91,0.0417,0.531,0.795,8.98e-05,4.0,0.457,-7.586,0.0,0.319,89.911,0.483,2020-07-08
"SNIK, A!MS",GANGSTA,spotify:track:56hwvng962V4BzUvAuVtAC,91,0.264,0.775,0.758,0.0,4.0,0.0794,-3.626,0.0,0.159,93.074,0.176,2018-10-17
Anastasia,Amarties,spotify:track:6aUkRVhgVCrueotO6AQyeH,90,0.377,0.747,0.526,0.0,3.0,0.225,-8.342,0.0,0.0627,129.336,0.438,2023-06-16
Trannos,Overdose,spotify:track:46shjIA10wa3qJMaaJXCBM,90,0.0415,0.94,0.805,0.0,0.0,0.142,-4.79,1.0,0.116,119.993,0.812,2023-08-04
"Dani Gambino, Wang, Dj The Boy",1000 Kosmoi,spotify:track:1IPktlKE1ozrXfM017xpbZ,90,0.629,0.569,0.723,0.0,0.0,0.255,-7.101,1.0,0.205,135.955,0.56,2021-06-18
"SAINt JHN, Imanbek",Roses - Imanbek Remix,spotify:track:0zLCBJZSiELJf02ucPP9wb,89,0.0143,0.769,0.719,0.00777,8.0,0.359,-5.472,1.0,0.0474,121.955,0.863,2020-11-20
"Mad Clip, Ypo, DJ Stephan",Montecristo,spotify:track:0g3fKXiX2AANAX3k6FnKib,89,0.144,0.798,0.732,0.0,4.0,0.213,-7.661,0.0,0.0832,102.038,0.66,2019-08-09
The Weeknd,Call Out My Name,spotify:track:09mEdoA6zrmBPgTEN5qXmN,88,0.17,0.461,0.593,0.0,1.0,0.307,-4.954,1.0,0.0356,134.17,0.175,2018-03-30
"SNIK, Light, Mad Clip",Bosses,spotify:track:4lRQP4PC7ZHQnkPuq8N52N,88,0.36,0.68,0.887,0.0,6.0,0.085,-3.398,0.0,0.404,150.078,0.484,2020-07-31
"Saske, Beyond, Issy Beats",PADOU,spotify:track:27GSRTfL7fEnLAEr3fB5YX,87,0.304,0.764,0.561,0.000689,3.0,0.119,-7.519,0.0,0.0369,108.039,0.226,2022-04-21
"Sin Boy, Mad Clip, Ypo, iLLEOo",Mama?,spotify:track:6m69YzoQgEkhPnWIhXswcJ,87,0.377,0.716,0.78,0.000351,6.0,0.0753,-4.616,0.0,0.0445,94.028,0.187,2019-07-22
Mad Clip,Kotera,spotify:track:3f7zVrAcCZ1BVlArmg8wzr,87,0.0332,0.951,0.798,1.2e-05,9.0,0.0936,-7.168,0.0,0.11,134.015,0.961,2020-05-08
"Rina, Sin Boy",Gigi,spotify:track:2ySWuhmNR789tk5AN2EUc3,86,0.257,0.502,0.821,0.0,10.0,0.135,-4.709,0.0,0.328,135.568,0.565,2018-09-04
"LEX, Ortiz",Oxi Simera,spotify:track:0dD17UWACV5aYTyeS6af1k,86,0.261,0.747,0.586,2.78e-05,6.0,0.11,-8.799,1.0,0.0591,99.986,0.176,2019-11-22
"Post Malone, 21 Savage",rockstar (feat. 21 Savage),spotify:track:0e7ipj03S05BNilyu5bRzt,85,0.124,0.585,0.52,7.01e-05,5.0,0.131,-6.136,0.0,0.0712,159.801,0.129,2018-04-27
"Sin Laurent, TOQUEL",Pistoli,spotify:track:1m0N54Nrd76muGR1nynZgZ,84,0.25,0.793,0.622,0.0,2.0,0.141,-8.654,1.0,0.12,99.973,0.362,2020-07-10
Mente Fuerte,Mavro Range,spotify:track:6v9Cigr3hxwlfh7xkpDDsU,84,0.0325,0.81,0.661,0.0,1.0,0.101,-5.444,0.0,0.038,130.064,0.488,2019-03-25
TOQUEL,Ta Leme Meta,spotify:track:3ucPVIMQmNsnLkuoTmUAvf,84,0.689,0.816,0.556,0.0,11.0,0.0667,-7.74,0.0,0.378,129.937,0.541,2019-05-27
Mad Clip,Guccci,spotify:track:4AcWoNZHJ6tLBcKWifiTbC,83,0.296,0.565,0.536,0.0,5.0,0.176,-9.706,0.0,0.293,83.475,0.261,2019-12-12
Billie Eilish,bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,83,0.328,0.701,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,0.562,2019-03-29
"iLLEOo, DJ Benz, Hawk",Keef,spotify:track:6bY6dH41XY2EDvXsIGLT7J,83,0.548,0.908,0.816,0.0,6.0,0.0899,-6.802,0.0,0.1,112.015,0.717,2018-08-08
Billie Eilish,when the party's over,spotify:track:43zdsphuZLzwA9k4DJhU0I,83,0.978,0.367,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,0.198,2019-03-29
"Light, Hawk",Voodoo,spotify:track:6tGl1mj5CyoB1hUtOKyhkQ,83,0.0717,0.665,0.628,0.0,11.0,0.0469,-6.832,0.0,0.271,84.656,0.275,2020-12-25
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,82,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
Light,MVP Freestyle,spotify:track:7JFHUJUtOP9xCdkcK935OZ,82,0.215,0.536,0.548,0.0,8.0,0.0887,-10.821,0.0,0.451,80.706,0.387,2019-07-30
"Dani Gambino, Immune",CARLOS TEVEZ,spotify:track:7sqV5wrcZH0B4q8X9uHKFJ,80,0.612,0.758,0.895,0.0,9.0,0.0931,-6.113,1.0,0.147,144.942,0.601,2021-02-26
"Light, Hawk",Ligi,spotify:track:4iWDvVZZgRVgVnTtHOkHXp,79,0.0234,0.855,0.543,0.0,0.0,0.118,-9.253,0.0,0.0463,100.946,0.188,2020-12-25
"The Weeknd, Daft Punk",Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,78,0.141,0.679,0.587,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.003,0.486,2016-11-25
SNIK,Etsi,spotify:track:73d7q3kVVIgfCUK07bVIVH,78,0.354,0.811,0.758,0.000815,11.0,0.161,-4.782,1.0,0.0735,98.986,0.638,2020-08-07
"TOQUEL, RACK, ObieDaz",Aftoktonia,spotify:track:7IokpTW54OgzPu6Q3fkVHn,78,0.243,0.699,0.64,0.0,2.0,0.0774,-7.501,1.0,0.278,97.021,0.342,2021-12-03
"Sigma, Light",Kilo,spotify:track:7xhP7fa8BHHoA26IIyYKjQ,78,0.253,0.639,0.739,0.0,1.0,0.113,-6.974,0.0,0.301,104.901,0.46,2021-04-27
Harry Styles,As It Was,spotify:track:4Dvkj6JhhA12EX05fT7y2e,77,0.342,0.52,0.731,0.00101,6.0,0.311,-5.338,0.0,0.0557,173.93,0.662,2022-05-20
"Dof Twogee, LEX",Varane,spotify:track:4lvHQEPkjbCurmAAFO7GxY,77,0.714,0.909,0.494,0.00118,10.0,0.155,-14.281,0.0,0.313,112.015,0.553,2020-06-13
"Light, Mad Clip",Shorty,spotify:track:6W11qt0cfGVx7ZOEYNrSYX,76,0.0812,0.792,0.609,0.0,1.0,0.239,-8.128,1.0,0.148,140.007,0.808,2021-06-04
Ariana Grande,7 rings,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,76,0.592,0.778,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,0.327,2019-02-08
"RACK, LILA, Beyond",Prestige,spotify:track:4gFO7c2q8Iku8bjylseQzT,75,0.169,0.765,0.802,0.000448,9.0,0.225,-7.624,0.0,0.0509,115.053,0.569,2021-05-20
