Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Lil Kesh, Zinoleesky",Don't Call Me (feat. Zinoleesky),spotify:track:2XuLnQELesgnkCGZbSJHO0,63,0.044,0.876,0.834,3.93e-05,5.0,0.0874,-5.768,0.0,0.0454,117.986,0.62,2021-12-02
"JAE5, Dave, Bnxn",Propeller (feat. Dave & BNXN),spotify:track:4A7sSA10D35HQUNrSOl5Zo,63,0.475,0.846,0.508,0.000126,8.0,0.0961,-7.873,1.0,0.308,126.447,0.567,2022-07-28
Fireboy DML,Playboy,spotify:track:2AKS1HhpLu2rgkojECUm3V,62,0.347,0.541,0.667,1.49e-06,2.0,0.0591,-7.821,1.0,0.131,155.117,0.831,2022-08-04
"Wizkid, Tems",Essence (feat. Tems),spotify:track:5FG7Tl93LdH117jEKYl3Cm,62,0.0266,0.849,0.707,8.58e-06,0.0,0.618,-6.002,1.0,0.113,104.027,0.602,2020-10-29
"Asake, Burna Boy",Sungba (feat. Burna Boy) - Remix,spotify:track:4k4pdUWX8632g7yByxC3rS,61,0.0921,0.831,0.611,3.57e-06,7.0,0.0321,-8.457,1.0,0.223,111.984,0.712,2022-09-07
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,61,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
"Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce",Overloading (OVERDOSE),spotify:track:3ES1fBQACydIODlZmQS359,60,0.484,0.546,0.611,0.00149,0.0,0.101,-9.459,0.0,0.172,104.059,0.749,2022-12-02
Victony,Apollo,spotify:track:1OGZU2zmK6x0UnM3yeZ4lR,60,0.217,0.829,0.703,0.00123,9.0,0.118,-5.683,0.0,0.0444,115.961,0.6,2022-05-06
"Young Jonn, Davido",Dada (feat. Davido) [Remix],spotify:track:2IBrgYf3Hjw16c6oNwkZ9M,59,0.301,0.632,0.806,0.0,7.0,0.2,-5.771,0.0,0.155,139.124,0.293,2022-04-28
"Pheelz, Davido",Electricity,spotify:track:5ZGXOgSHLkDYlDssUkVp7a,59,0.0348,0.824,0.72,0.0,9.0,0.101,-3.868,1.0,0.067,110.968,0.496,2023-02-10
