Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Mrs. GREEN APPLE,春愁,spotify:track:5SHguvOUbyPTINNjCvRo8K,183.0,0.0121,0.724,0.444,0.0,10.0,0.123,-4.903,1.0,0.0412,129.962,0.739,2018-02-14
GReeeeN,愛唄,spotify:track:7iXHLtPosbHvglVSJ4rxLq,181.0,0.0839,0.505,0.791,0.0,8.0,0.187,-3.729,1.0,0.0308,169.964,0.425,2007-01-01
Saucy Dog,Itsuka,spotify:track:0v3iUTe5rskRsxbUhboRlT,181.0,0.0941,0.603,0.509,0.0,7.0,0.201,-4.535,1.0,0.0263,79.989,0.445,2017-05-24
Ryokuoushoku Shakai,Mela!,spotify:track:6IO5nn84TKArsi3cjpIqaD,180.0,0.0439,0.619,0.941,1.73e-05,8.0,0.318,-1.618,1.0,0.0584,137.967,0.624,2020-04-13
DISH//,猫,spotify:track:6sIx7Cn37DGEhjy9hBP8Gx,180.0,0.113,0.506,0.769,0.0,3.0,0.0828,-5.326,1.0,0.0363,154.044,0.536,2017-08-15
Aimyon,Naked Heart,spotify:track:4Jv7U0JJpbQnOrjtDwDZTZ,179.0,0.537,0.559,0.448,1.85e-05,8.0,0.0915,-4.11,1.0,0.0275,148.02,0.354,2020-09-09
Macaroni Empitsu,ブルーベリー・ナイツ,spotify:track:2UdvMWk0Z83lMJPbawy2Sm,177.0,0.278,0.66,0.865,0.0,5.0,0.0931,-3.642,1.0,0.0277,106.008,0.772,2020-04-01
Macaroni Empitsu,恋人ごっこ,spotify:track:2SihT7AVMiI2VtaAyVIcnO,176.0,0.124,0.438,0.646,0.0,1.0,0.0603,-5.301,1.0,0.0361,102.033,0.745,2020-04-01
back number,クリスマスソング,spotify:track:5P8ZvBQoCrujjNcLAxO3Su,172.0,0.128,0.404,0.705,0.0,4.0,0.123,-3.324,1.0,0.0315,154.02,0.42,2015-12-09
Aimyon,愛を伝えたいだとか,spotify:track:0N8Xztr4pBHJ7V0moJWhbO,171.0,0.0345,0.673,0.85,1.14e-05,2.0,0.0943,-5.021,1.0,0.0337,100.008,0.793,2017-09-12
Vaundy,Fukakoryoku,spotify:track:6AncLCxf4U7ivJEaqih9zA,170.0,0.0139,0.691,0.826,5.03e-06,2.0,0.0604,-4.9,1.0,0.0423,94.033,0.62,2020-05-27
Sheena Ringo,丸ノ内サディスティック,spotify:track:1mWN1USPKg632qQXG9sfDL,170.0,0.113,0.425,0.916,0.000398,8.0,0.108,-2.909,1.0,0.118,199.694,0.659,1999-02-24
OFFICIAL HIGE DANDISM,Yesterday,spotify:track:1kMlcLyljkrShV0LSdSGBz,168.0,0.0442,0.541,0.8,0.0,6.0,0.398,-3.687,1.0,0.0382,129.939,0.56,2019-08-31
Kenshi Yonezu,Lemon,spotify:track:04TshWXkhV1qkqHzf31Hn6,166.0,0.304,0.525,0.646,0.0,11.0,0.297,-4.963,1.0,0.0268,86.957,0.373,2020-08-05
back number,ハッピーエンド,spotify:track:4GqO80eGXA542oTvlYv4LS,166.0,0.0379,0.378,0.654,1.93e-06,6.0,0.141,-3.327,0.0,0.0359,77.907,0.334,2016-11-16
BTS,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,163.0,0.0112,0.746,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,0.737,2020-11-20
OFFICIAL HIGE DANDISM,Shukumei,spotify:track:0XaHPBAzPAC5ubwcRBqc1p,162.0,0.0152,0.547,0.577,0.0,5.0,0.109,-6.087,1.0,0.0336,164.032,0.494,2019-08-31
