Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,162.0,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
Ariana Grande,7 rings,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,160.0,0.592,0.778,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,0.327,2019-02-08
The Neighbourhood,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,157.0,0.0495,0.612,0.807,0.0177,10.0,0.101,-2.81,1.0,0.0336,124.053,0.398,2013-04-19
Travis Scott,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,156.0,0.00513,0.834,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,0.446,2018-08-03
"Dua Lipa, DaBaby",Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF,156.0,0.00883,0.702,0.825,0.0,6.0,0.0674,-3.787,0.0,0.0601,102.977,0.915,2020-03-27
The Weeknd,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g,151.0,0.0212,0.68,0.826,1.24e-05,0.0,0.543,-5.487,1.0,0.0309,118.051,0.644,2020-03-20
"Drake, Wizkid, Kyla",One Dance,spotify:track:1zi7xx7UVEFkmKfv06H8x0,150.0,0.00776,0.792,0.625,0.0018,1.0,0.329,-5.609,1.0,0.0536,103.967,0.37,2016-05-06
Glass Animals,Heat Waves,spotify:track:3USxtqRwSYz57Ewm6wWRMp,148.0,0.44,0.761,0.525,6.7e-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,0.531,2020-08-07
XXXTENTACION,Jocelyn Flores,spotify:track:7m9OqQk4RVRkw9JJdeAw96,143.0,0.469,0.872,0.391,4.13e-06,0.0,0.297,-9.144,0.0,0.242,134.021,0.437,2017-08-25
Bruno Mars,Just the Way You Are,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,143.0,0.0134,0.635,0.841,0.0,5.0,0.0622,-5.379,1.0,0.0422,109.021,0.424,2010-10-05
Taylor Swift,Blank Space,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,139.0,0.103,0.76,0.703,0.0,5.0,0.0913,-5.412,1.0,0.054,95.997,0.57,2014-01-01
Tones And I,Dance Monkey,spotify:track:2N8m6CYs74qQO4mjVcXO30,133.0,0.69,0.824,0.587,0.000105,6.0,0.149,-6.401,0.0,0.0937,98.029,0.514,2021-07-16
Conan Gray,Heather,spotify:track:4xqrdfXkTW4T0RauPLv3WA,131.0,0.584,0.357,0.425,0.0,5.0,0.322,-7.301,1.0,0.0333,102.078,0.27,2020-03-20
Travis Scott,goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,131.0,0.0847,0.841,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,0.43,2016-09-16
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,130.0,0.717,0.442,0.538,2.95e-05,4.0,0.09,-8.55,0.0,0.0451,122.758,0.139,2013-06-17
"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),spotify:track:4HBZA5flZLE435QTztThqH,127.0,0.223,0.597,0.45,0.0,8.0,0.382,-6.658,1.0,0.0418,178.765,0.537,2020-05-08
"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),spotify:track:0hVXuCcriWRGvwMV1r5Yn9,123.0,0.0902,0.798,0.676,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,0.843,2019-07-12
Ariana Grande,"thank u, next",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,122.0,0.229,0.717,0.653,0.0,1.0,0.101,-5.634,1.0,0.0658,106.966,0.412,2019-02-08
"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",spotify:track:4j5ffIFh7bFT7GZciP1TCy,121.0,0.149,0.654,0.63,0.0,10.0,0.111,-4.644,1.0,0.0259,89.991,0.43,2021-08-13
Billie Eilish,bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,121.0,0.328,0.701,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,0.562,2019-03-29
The Weeknd,Die For You,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,121.0,0.111,0.586,0.525,0.0,1.0,0.134,-7.163,0.0,0.0615,133.629,0.508,2016-11-24
"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),spotify:track:70eFcWOvlMObDhURTqT4Fv,120.0,0.124,0.64,0.647,0.0,5.0,0.0801,-8.114,0.0,0.186,92.979,0.546,2019-07-12
Coldplay,Yellow,spotify:track:3AJwUDP919kvQ9QcozQPxg,119.0,0.00239,0.429,0.661,0.000121,11.0,0.234,-7.227,1.0,0.0281,173.372,0.285,2000-07-10
Travis Scott,HIGHEST IN THE ROOM,spotify:track:3eekarcy7kvN4yt5ZFzltW,118.0,0.0546,0.598,0.427,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,0.0605,2019-10-04
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),spotify:track:567e29TDzLwZwfDuEpGTwo,117.0,0.0383,0.591,0.764,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,0.478,2021-07-27
"BTS, Halsey",Boy With Luv (feat. Halsey),spotify:track:4a9tbd947vo9K8Vti9JwcI,117.0,0.0933,0.645,0.862,0.0,11.0,0.193,-4.761,0.0,0.0845,119.947,0.803,2019-04-12
BTS,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,117.0,0.0112,0.746,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,0.737,2020-11-20
"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),spotify:track:7ef4DlsgrMEH11cDZd32M6,116.0,0.037,0.791,0.862,2.19e-05,9.0,0.0814,-3.24,0.0,0.11,123.994,0.592,2018-04-06
"Post Malone, 21 Savage",rockstar (feat. 21 Savage),spotify:track:0e7ipj03S05BNilyu5bRzt,114.0,0.124,0.585,0.52,7.01e-05,5.0,0.131,-6.136,0.0,0.0712,159.801,0.129,2018-04-27
J. Cole,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr,112.0,0.324,0.69,0.521,0.0,10.0,0.0534,-8.492,0.0,0.339,100.028,0.494,2014-12-09
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,112.0,0.0354,0.795,0.8,7.25e-05,1.0,0.0915,-6.32,1.0,0.0309,116.032,0.934,2021-10-22
"Sam Smith, Normani",Dancing With A Stranger (with Normani),spotify:track:3xgT3xIlFGqZjYW9QlhJWp,111.0,0.447,0.741,0.52,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,0.347,2020-10-30
Kanye West,Heartless,spotify:track:4EWCNWgDS8707fNSZ1oaA5,111.0,0.0515,0.79,0.647,0.0,10.0,0.248,-5.983,0.0,0.136,87.999,0.654,2008-11-24
Ruth B.,Dandelions,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,111.0,0.0157,0.609,0.692,0.0,1.0,0.0864,-2.958,1.0,0.0259,116.959,0.454,2017-05-05
Ariana Grande,positions,spotify:track:35mvY5S1H3J2QZyna3TFe0,109.0,0.468,0.737,0.802,0.0,0.0,0.0931,-4.771,1.0,0.0878,144.015,0.682,2020-10-30
"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),spotify:track:4qu63nuBpdn0qHUHuObEj1,109.0,0.00226,0.721,0.738,4.41e-06,7.0,0.118,-4.77,1.0,0.0403,119.976,0.637,2021-05-21
OneRepublic,Counting Stars,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,109.0,0.0654,0.664,0.705,0.0,1.0,0.118,-4.972,0.0,0.0382,122.016,0.477,2013-01-01
The Neighbourhood,Daddy Issues,spotify:track:5E30LdtzQTGqRvNd7l6kG5,108.0,0.0678,0.588,0.521,0.149,10.0,0.123,-9.461,1.0,0.0329,85.012,0.337,2015-10-30
Arctic Monkeys,505,spotify:track:58ge6dfP91o9oXMzq3XkIS,107.0,0.00237,0.52,0.852,5.79e-05,0.0,0.0733,-5.866,1.0,0.0543,140.267,0.234,2007-04-24
Tate McRae,you broke me first,spotify:track:45bE4HXI0AwGZXfZtMp8JR,107.0,0.785,0.667,0.373,0.0,4.0,0.0906,-9.389,1.0,0.05,124.148,0.0823,2020-04-17
Pink Sweat$,At My Worst,spotify:track:2MJz8BxxMsERULatmBikDH,107.0,0.777,0.813,0.415,0.0,0.0,0.131,-5.926,1.0,0.0349,91.921,0.667,2021-02-12
Justin Bieber,Ghost,spotify:track:6I3mqTwhRpn34SLVafSH7G,106.0,0.185,0.601,0.741,2.91e-05,2.0,0.415,-5.569,1.0,0.0478,153.96,0.441,2021-03-19
Ali Gatie,It's You,spotify:track:5DqdesEfbRyOlSS3Tf6c29,106.0,0.374,0.732,0.463,0.0,11.0,0.194,-6.972,0.0,0.0287,95.971,0.397,2019-11-08
"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,105.0,0.568,0.851,0.541,0.0,0.0,0.13,-6.825,1.0,0.0505,124.959,0.448,2018-06-15
"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),spotify:track:77MdvMx9L4ZQuLhhn3o21h,105.0,0.866,0.429,0.486,0.0,1.0,0.0982,-9.971,1.0,0.101,146.99,0.661,2021-06-25
Ed Sheeran,Shivers,spotify:track:3xWGA8pa0IKFI7IMPri4P0,105.0,0.281,0.788,0.859,0.0,2.0,0.0424,-2.724,1.0,0.0856,141.02,0.822,2020
CKay,love nwantiti (ah ah ah),spotify:track:2Xr1dTzJee307rmrkt8c0g,104.0,0.365,0.727,0.739,0.00137,8.0,0.161,-3.805,1.0,0.0411,93.005,0.533,2019-08-30
XXXTENTACION,the remedy for a broken heart (why am I so in love),spotify:track:4UKCKdYiLN6IMA5ZESUTL7,103.0,0.779,0.699,0.304,0.000993,1.0,0.137,-11.192,1.0,0.0993,119.705,0.271,2018-03-16
Adele,Easy On Me,spotify:track:46IZ0fSY2mpAiktS3KOqds,103.0,0.578,0.604,0.366,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,0.13,2021-11-19
"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,102.0,0.0027,0.553,0.659,0.0,8.0,0.105,-7.295,1.0,0.0391,120.146,0.105,2022-04-15
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),spotify:track:7FGq80cy8juXBCD2nrqdWU,102.0,0.549,0.632,0.686,0.0,6.0,0.2,-7.665,0.0,0.243,89.949,0.329,2018-12-07
Ava Max,Sweet but Psycho,spotify:track:3tNE4i6TBqMdyTZxHDAn9B,102.0,0.0684,0.72,0.706,0.0,1.0,0.166,-4.719,1.0,0.0473,133.002,0.62,2020-09-18
Billie Eilish,everything i wanted,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,102.0,0.902,0.704,0.225,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,0.243,2019-11-13
Doja Cat,Woman,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,101.0,0.0888,0.824,0.764,0.00294,5.0,0.117,-4.175,0.0,0.0854,107.998,0.881,2021-06-25
Khalid,Better,spotify:track:6zeeWid2sgw4lap2jV61PZ,101.0,0.0765,0.596,0.552,0.334,0.0,0.104,-10.278,0.0,0.097,97.949,0.112,2018-10-18
XXXTENTACION,changes,spotify:track:7AFASza1mXqntmGtbxXprO,100.0,0.883,0.669,0.308,0.0,11.0,0.0984,-10.068,1.0,0.029,64.934,0.52,2018-03-16
Roddy Ricch,The Box,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,100.0,0.104,0.896,0.586,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,0.642,2019-12-06
Olivia Rodrigo,drivers license,spotify:track:5wANPM4fQCJwkGd4rN57mH,100.0,0.768,0.561,0.431,1.42e-05,10.0,0.106,-8.81,1.0,0.0578,143.875,0.137,2021-05-21
Jason Mraz,I'm Yours,spotify:track:3S0OXQeoh0w6AY8WQVckRW,100.0,0.559,0.703,0.444,0.0,11.0,0.0973,-9.331,1.0,0.0417,150.96,0.712,2008-05-01
Jeremy Zucker,comethru,spotify:track:18uwL0vNUanqZH0ro2QcOP,98.0,0.607,0.795,0.178,0.0,0.0,0.623,-11.991,1.0,0.0574,93.982,0.608,2018-09-28
"24kGoldn, iann dior",Mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,98.0,0.174,0.701,0.716,0.0,7.0,0.324,-3.671,0.0,0.0361,91.007,0.732,2021-03-26
Jonas Brothers,Sucker,spotify:track:22vgEDb5hykfaTwLuskFGD,97.0,0.0427,0.842,0.734,0.0,1.0,0.106,-5.065,0.0,0.0588,137.958,0.952,2019-06-07
Drake,God's Plan,spotify:track:6DCZcSspjsKoFjzjrWoCdn,97.0,0.0332,0.754,0.449,8.29e-05,7.0,0.552,-9.211,1.0,0.109,77.169,0.357,2018-06-29
"Lost Frequencies, Calum Scott",Where Are You Now,spotify:track:3uUuGVFu1V7jTQL60S1r8z,97.0,0.515,0.671,0.636,0.000411,6.0,0.172,-8.117,0.0,0.103,120.966,0.262,2021-07-30
Dean Lewis,Be Alright,spotify:track:5qrSlOut2rNAWv3ubArkNy,96.0,0.705,0.551,0.537,0.0,11.0,0.0802,-7.595,1.0,0.034,126.421,0.493,2019-03-22
"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,95.0,0.321,0.677,0.696,0.0,0.0,0.42,-6.181,1.0,0.119,90.03,0.464,2021-03-19
blackbear,hot girl bummer,spotify:track:2mt1IqcFyY1zmYZT8Q3xw9,95.0,0.125,0.782,0.559,0.0,6.0,0.385,-7.106,0.0,0.0767,129.992,0.685,2020-08-21
"Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",spotify:track:7hxHWCCAIIxFLCzvDgnQHX,95.0,0.25,0.8,0.658,0.0,1.0,0.111,-6.142,0.0,0.079,140.042,0.462,2020-08-28
Giveon,Heartbreak Anniversary,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,94.0,0.524,0.449,0.465,1.02e-06,0.0,0.303,-8.964,1.0,0.0791,89.087,0.543,2020-03-27
Ed Sheeran,Bad Habits,spotify:track:6ex1Pz3pntgy4NPtxHXN2V,94.0,0.0451,0.807,0.893,2.79e-05,11.0,0.366,-3.745,0.0,0.0347,126.011,0.537,2020
"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),spotify:track:68EMU2RD1ECNeOeJ5qAXCV,94.0,0.621,0.728,0.563,0.0,1.0,0.179,-8.053,0.0,0.134,100.017,0.352,2015-11-05
dhruv,double take,spotify:track:0QzuaeCEEOV40Pn7IvKEny,92.0,0.845,0.656,0.436,0.0,8.0,0.221,-11.141,1.0,0.0744,109.239,0.196,2022-01-21
The Weeknd,Is There Someone Else?,spotify:track:0mL82sxCRjrs3br407IdJh,91.0,0.0388,0.702,0.586,7.27e-05,9.0,0.156,-7.83,0.0,0.0313,134.951,0.608,2022-01-06
Shawn Mendes,If I Can't Have You,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,91.0,0.487,0.691,0.823,0.0,2.0,0.134,-4.197,1.0,0.0623,123.935,0.87,2019-06-19
Cigarettes After Sex,Apocalypse,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,90.0,0.0205,0.37,0.467,0.572,5.0,0.109,-9.013,1.0,0.0273,94.485,0.182,2017-06-09
Charlie Puth,Attention,spotify:track:5cF0dROlMOK5uNZtivgu50,90.0,0.109,0.775,0.613,2.33e-05,3.0,0.134,-4.586,0.0,0.0542,100.066,0.797,2018-05-11
Steve Lacy,Dark Red,spotify:track:3EaJDYHA0KnX88JvDhL9oa,89.0,0.446,0.603,0.784,8.32e-06,6.0,0.119,-4.023,1.0,0.062,172.041,0.769,2017-02-20
"Coldplay, BTS",My Universe,spotify:track:46HNZY1i7O6jwTA7Slo2PI,89.0,0.0114,0.573,0.711,0.0,1.0,0.328,-6.268,0.0,0.0406,105.006,0.47,2021-10-15
One Direction,Night Changes,spotify:track:5O2P9iiztwhomNh8xkR9lJ,88.0,0.859,0.672,0.52,0.0,8.0,0.115,-7.747,1.0,0.0353,120.001,0.37,2014-11-17
Arizona Zervas,ROXANNE,spotify:track:696DnlkuDOXcMAnKlTgXXK,88.0,0.0522,0.621,0.601,0.0,6.0,0.46,-5.616,0.0,0.148,116.735,0.457,2019-10-10
"Powfu, beabadoobee",death bed (coffee for your head),spotify:track:7eJMfftS33KTjuF7lTsMCx,88.0,0.731,0.726,0.431,0.0,8.0,0.696,-8.765,0.0,0.135,144.026,0.348,2020-02-08
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),spotify:track:7FIWs0pqAYbP91WWM0vlTQ,88.0,0.145,0.808,0.745,0.0,10.0,0.292,-5.26,0.0,0.342,165.995,0.829,2020-01-17
Harry Styles,Adore You,spotify:track:3jjujdWJ72nww5eGnfs2E7,88.0,0.0237,0.676,0.771,7e-06,8.0,0.102,-3.675,1.0,0.0483,99.048,0.569,2019-12-13
Lil Mosey,Blueberry Faygo,spotify:track:22LAwLoDA5b4AaGSkg6bKW,87.0,0.207,0.774,0.554,0.0,0.0,0.132,-7.909,1.0,0.0383,99.034,0.349,2020-02-06
5 Seconds of Summer,Youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE,87.0,0.0169,0.596,0.854,0.0,7.0,0.124,-5.114,0.0,0.463,120.274,0.152,2018-06-15
Sia,Unstoppable,spotify:track:2J2Z1SkXYghSajLibnQHOa,87.0,0.112,0.468,0.779,0.000373,9.0,0.101,-4.839,1.0,0.0779,173.799,0.26,2016-01-29
"SAINt JHN, Imanbek",Roses - Imanbek Remix,spotify:track:0zLCBJZSiELJf02ucPP9wb,87.0,0.0143,0.769,0.719,0.00777,8.0,0.359,-5.472,1.0,0.0474,121.955,0.863,2020-11-20
Billie Eilish,when the party's over,spotify:track:43zdsphuZLzwA9k4DJhU0I,87.0,0.978,0.367,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,0.198,2019-03-29
Elley Duhé,MIDDLE OF THE NIGHT,spotify:track:58HvfVOeJY7lUuCqF0m3ly,86.0,0.0228,0.41,0.611,0.0,4.0,0.116,-8.271,0.0,0.0467,185.727,0.0899,2020-01-10
"Shae Gill, Ali Sethi",Pasoori,spotify:track:7lvDsmTRXFE3dK4OjvRiWB,85.0,0.0657,0.714,0.596,0.0,11.0,0.0625,-6.206,0.0,0.043,91.991,0.669,2022-02-07
"Future, Drake",Life Is Good (feat. Drake),spotify:track:1K5KBOgreBi5fkEHvg5ap3,85.0,0.067,0.795,0.574,0.0,2.0,0.15,-6.903,0.0,0.487,142.053,0.537,2020-05-15
XXXTENTACION,Everybody Dies In Their Nightmares,spotify:track:3GVkPk8mqxz0itaAriG1L7,85.0,0.847,0.734,0.57,2.14e-05,7.0,0.112,-7.066,0.0,0.133,129.953,0.689,2017-08-25
"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),spotify:track:2vXKRlJBXyOcvZYTdNeckS,84.0,0.0933,0.658,0.671,0.000927,2.0,0.115,-12.21,1.0,0.0363,100.966,0.166,2019-03-08
"Drake, Travis Scott",Fair Trade (with Travis Scott),spotify:track:40iJIUlhi6renaREYGeIDS,84.0,0.0503,0.666,0.465,0.0,1.0,0.215,-8.545,1.0,0.26,167.937,0.292,2021-09-03
Ed Sheeran,Thinking out Loud,spotify:track:1Slwb6dOYkBlWal1PGtnNg,84.0,0.474,0.781,0.445,0.0,2.0,0.184,-6.061,1.0,0.0295,78.998,0.591,2013
"Doja Cat, SZA",Kiss Me More (feat. SZA),spotify:track:3DarAbFujv6eYNliUTyqtz,83.0,0.259,0.764,0.705,8.92e-05,8.0,0.12,-3.463,1.0,0.0284,110.97,0.781,2021-06-25
"Maroon 5, Wiz Khalifa",Payphone,spotify:track:1XGmzt0PVuFgQYYnV2It7A,83.0,0.0188,0.743,0.752,0.0,4.0,0.287,-4.813,1.0,0.0414,110.015,0.545,2012-01-01
The Weeknd,Call Out My Name,spotify:track:09mEdoA6zrmBPgTEN5qXmN,83.0,0.17,0.461,0.593,0.0,1.0,0.307,-4.954,1.0,0.0356,134.17,0.175,2018-03-30
"Kina, Snøw",Get You The Moon (feat. Snøw),spotify:track:4ZLzoOkj0MPWrTLvooIuaa,83.0,0.72,0.498,0.235,0.0,1.0,0.144,-16.541,0.0,0.188,118.917,0.0895,2018-10-08
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,83.0,0.0221,0.741,0.691,0.0,10.0,0.0476,-7.395,0.0,0.0672,150.087,0.892,2021-09-17
Juice WRLD,Robbery,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,82.0,0.328,0.685,0.692,0.0,2.0,0.153,-5.122,1.0,0.0457,159.966,0.578,2019-03-08
